LOCATION_NAME,TSN,LATITUDE,LONGITUDE,EFA_ID,PHONE,ADDRESS,FACILITIES,ACCESSIBILITY,TRANSPORT_MODE,MORNING_PEAK,AFTERNOON_PEAK
"Condobolin Station",28772,-33.08391,147.153285,10155039,"13 22 32","Denison St, Condobolin NSW 2877",,,Train,,
"Condobolin Town Coach Stop",28773,-33.090038,147.147115,10150280,,"Condobolin Bowling Club, William St, Condobolin NSW 2877",,,Coach,,
"Coniston Station",250030,-34.43745489,150.8855292,10101373,"02 4223 5529","Gladstone Ave, Coniston NSW 2500","Bike lockers | Bike racks | Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Wheelchair accessible car space | Wheelchair accessible payphone | Taxi rank","This location is not wheelchair accessible | PA system for announcements","Train, Bus, Taxi",6-8am,4-6.30pm
"Convention Centre Light Rail",2000262,-33.87262846,151.198123,10101439,,"Darling Dr, Sydney NSW 2000","Emergency help point | Opal card top up or single trip ticket machine","This location is wheelchair accessible | Level crossing | Tactile surfaces | PA system for announcements","Light rail",,
"Coolabah Coach Stop",28317,-31.027687,146.713126,10150270,,"Gaffneys Store, Mitchell Hwy, Coolabah NSW 2831",,,Coach,,
"Coolac Coach Stop",27271,-34.929046,148.166247,10150122,,"General Store, Hume Hwy, Coolac NSW 2727",,,Coach,,
"Coolah Coach Stop",28431,-31.825022,149.718902,10150108,,"Binnia St before Booyamurra St, Coolah NSW 2843",,,Coach,,
"Coolamon Coach Stop",27012,-34.815817,147.199995,10150002,,"Coolamon Post Office, Cowabbie St, Coolamon NSW 2701",,,Coach,,
"Coolamon Station",27011,-34.816045,147.201858,10155041,"13 22 32","Wade St, Coolamon NSW 2701",,"Wheelchair ramp boarding assistance",Train,,
"Cooma Coach Stop",263027,-36.234146,149.126521,10150008,,"Centennial Park, Bombala St, Cooma NSW 2630",,,Coach,,
"Coonabarabran Coach Stop",23571,-31.279073,149.279362,10150077,,"Coonabarabran Visitor Information Centre, Newell Hwy, Coonabarabran NSW 2357",,,Coach,,
"Coonamble Coach Stop",28292,-30.955843,148.389184,10150135,,"Castlereagh Hwy opp Namoi St, Coonamble NSW 2829",,,Coach,,
"Coopernook Coach Stop",24261,-31.824628,152.612831,10157155,,"Macquarie St at Mitchell Cl, Coopernook NSW 2426",,,"Regional coach, Bus",,
"Cootamundra Station",25901,-34.641038,148.030649,10155050,"13 22 32","Hovell St, Cootamundra NSW 2590","Commuter car park | Emergency help point | Payphone | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Wheelchair ramp boarding assistance | PA system for announcements","Train, Regional coach, Taxi",,
"Corowa Coach Stop",26461,-35.998779,146.391492,10150037,,"River St at Sanger St, Corowa NSW 2646",,,Coach,,
"Corrimal Station",251820,-34.37572692,150.9049716,10101368,"02 4223 5580","Murray Rd, Corrimal NSW 2518","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Wheelchair accessible car space | Wheelchair accessible payphone | Taxi rank","This location is wheelchair accessible | Level crossing | Tactile surfaces | PA system for announcements","Train, Taxi",6-8am,4-6.30pm
"Cowan Station",208120,-33.59310763,151.1717177,10101132,"02 9847 8496","Pacific Hwy, Cowan NSW 2081","Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Toilets","This location is wheelchair accessible | Level crossing | Tactile surfaces | PA system for announcements | Short platforms, leave the train from the last 4 cars",Train,6-8am,4-6.30pm
"Cowper Coach Stop",24604,-29.573336,153.073751,10150089,,"Pacific Hwy at Telegraph St, Cowper NSW 2460",,,Coach,,
"Cowra Coach Stop",27941,-33.834717,148.688777,10150157,,"Macquarie St at Kendal St, Cowra NSW 2794",,,Coach,,
"Craboon Junction Coach Stop",284421,-32.03896,149.476512,10150123,,"Castlereagh Hwy before Golden Hwy, Dunedoo NSW 2844",,,Coach,,
"Craven Coach Stop",24225,-32.1575,151.9494,10150189,,"3065 The Bucketts Way, Craven NSW 2422",,,Coach,,
"Cremorne Point Wharf",20901,-33.84787838,151.2308584,10102025,,"Milson Rd, Cremorne Point NSW 2090","Emergency help point | Opal card top up or single trip ticket machine | Wheelchair accessible car space","This location is wheelchair accessible | Hearing loop | Tactile surfaces | PA system for announcements","Bus, Ferry",,
"Cringila Station",250520,-34.46717554,150.8784228,10101375,"02 4223 5694","Five Islands Rd, Port Kembla NSW 2505","Bike racks | Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Toilets","Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus",6-8am,4-6.30pm
"Cronulla Station",223020,-34.05625171,151.1515424,10101351,"02 9522 1245","Cronulla St, Cronulla NSW 2230","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Wheelchair ramp boarding assistance | Tactile surfaces | PA system for announcements","Train, Bus, Ferry, Taxi",7-9am,4-6.30pm
"Crown Street Light Rail",2300134,-32.926418,151.77715,10101503,,"Hunter St, Newcastle NSW 2300","Emergency help point | Opal card top up or single trip ticket machine","This location is wheelchair accessible | Tactile surfaces | Level crossing | PA system for announcements | Hearing loop","Light rail",,
"Croydon Station",213210,-33.88323425,151.1154882,10101208,"02 9752 8529","Meta St, Croydon NSW 2132","Emergency help point | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet | Baby change table | Kiss and ride stopping area | Bike racks | Wheelchair accessible car space","Stairs | Tactile surfaces | This location is wheelchair accessible | PA system for announcements | Lift | Wheelchair ramp boarding assistance",Train,7-9am,4-6.30pm
"Cudal Coach Stop",28641,-33.286363,148.739524,10150019,,"Main St opp Cudal Post Office, Cudal NSW 2864",,,Coach,,
"Culcairn Station",26601,-35.666107,147.038128,10155032,"13 22 32","Balfour St, Culcairn NSW 2660","Emergency help point | Toilets","This location is wheelchair accessible | Wheelchair ramp boarding assistance | PA system for announcements | Short platforms, please see the train guard","Train, Coach",,
"Cullen Bullen Coach Stop",2790135,-33.299749,150.032939,10150234,,"Cullen Bullen Public School, Castlereagh Hwy, Cullen Bullen NSW 2790",,,Coach,,
"Cundletown Coach Stop",243063,-31.899585,152.51905,10157694,,"Soldiers Memorial Hall, Main St, Cundletown NSW 2430",,,"Regional coach, Bus",,
"Dalgety Coach Stop",26283,-36.50329,148.834386,10161934,,"Campbell St at Briely St, Dalgety NSW 2628",,,Coach,,
"Dapto Station",253020,-34.49209044,150.7923283,10101425,"02 4223 5544","Station St, Dapto NSW 2530","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","Hearing loop | Level crossing | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Coach, Taxi",6-8am,4-6.30pm
"Darawank Coach Stop",2428168,-32.091869,152.478783,10158276,,"The Lakes Way before Failford Rd, Darawank NSW 2428",,,"Regional coach, Bus",,
"Darling Harbour Wharf",2000180,-33.86687618,151.2008261,10102052,,"Lime St, Sydney NSW 2000","Emergency help point | Opal card top up machine | No Opal card top up or single trip ticket sales | Taxi rank","This location is wheelchair accessible | Hearing loop | PA system for announcements","Bus, Ferry, Taxi",,
"Darling Point Wharf",20271,-33.8664518,151.2394906,10102034,,"Darling Point Rd, Darling Point NSW 2027","Emergency help point | No Opal card top up or single trip ticket sales","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements",Ferry,,
"Darlington Point Coach Stop",27061,-34.567662,146.000244,10150261,,"Bridge St opp Stock St, Darlington Point NSW 2706",,,Coach,,
"Darnick Station",28781,-32.851214,143.624896,10155004,"13 22 32","Ivanhoe Menindee Rd, Ivanhoe NSW 2878",,"Stairs | This location is not wheelchair accessible | Short platforms, please see the train guard",Train,,
"Dee Why B-Line",209924,-33.752971,151.286433,10119206,,"Pittwater Rd, Dee Why NSW 2099","Commuter car park | Departure indicator screen | Wheelchair accessible car space","This location is wheelchair accessible | Tactile surfaces","Bus, Taxi",,
"Dee Why Bus Interchange",209913,-33.75265204,151.2863953,10115434,,"Pittwater Rd, Dee Why NSW 2099","Bike racks | Kiss and ride stopping area | Toilets | Taxi rank",,"Bus, Taxi",,
"Deepwater Coach Stop",23711,-29.4383,151.8471,10150360,,"New England Hwy at Bourke St, Deepwater NSW 2371",,,Coach,,
"Delungra Coach Stop",24031,-29.654333,150.830022,10161847,,"Inverell St at Gunnee St, Delungra NSW 2403",,,Coach,,
"Deniliquin Coach Stop",27101,-35.52882,144.96153,10150040,,"Gorman Park, Whitelock St, Deniliquin NSW 2710",,,Coach,,
"Denistone Station",211410,-33.79990618,151.0875503,10101200,"02 9752 8461","West Pde, Denistone NSW 2114","Commuter car park | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets","Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements",Train,7-9am,4-6.30pm
"Derriwong Coach Stop",28776,-33.097654,147.335882,10150285,,"Condobolin Rd, Derriwong , Derriwong NSW 2877",,,Coach,,
"Domestic Airport Station",202020,-33.93365963,151.1807857,10101331,"02 8337 8450","Keith Smith Ave, Domestic Ariport, Mascot NSW 2020","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Escalator | Hearing loop (ticket windows) | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Doonside Station",276710,-33.76398502,150.8683521,10101246,"02 9851 7218","Doonside Cres, Doonside NSW 2767","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Baby change table | Taxi rank","Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Dora Creek Station",226420,-33.08318747,151.5011621,10101149,"02 4349 9241","Wamsley St, Dora Creek NSW 2264","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus",6-8am,4-6.30pm
"Double Bay Wharf",20281,-33.87334922,151.2425813,10102003,,"Bay St, Double Bay NSW 2028","Bike racks | Emergency help point | Opal card top up or single trip ticket machine","Hearing loop | This location is not wheelchair accessible | PA system for announcements",Ferry,,
"Douglas Park Station",256910,-34.18322665,150.7099378,10101300,"02 4677 1402","Camden Rd, Douglas Park NSW 2569","Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales","Level crossing | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 2 cars",Train,6-8am,4-6.30pm
"Drummoyne Wharf",20471,-33.84548995,151.1570955,10102013,,"Wolseley St, Drummoyne NSW 2047","Emergency help point | No Opal card top up or single trip ticket sales","This location is wheelchair accessible | Hearing loop | Tactile surfaces | PA system for announcements",Ferry,,
"Dubbo Station",28301,-32.245012,148.608182,10155006,"13 22 32","Talbragar St, Dubbo NSW 2830","Commuter car park | Emergency help point | Payphone | Toilets | Wheelchair accessible car space | Baby change table | Taxi rank","This location is wheelchair accessible | Wheelchair ramp boarding assistance | PA system for announcements","Train, Regional coach, Taxi",,
"Dulwich Grove Light Rail",220365,-33.9050373,151.1390126,10101461,,"New Canterbury Rd, Dulwich Hill NSW 2203","Bike racks | Emergency help point","This location is wheelchair accessible | Hearing loop | Level crossing | Lift | Stairs | Tactile surfaces | PA system for announcements","Light rail",,
"Dulwich Hill Light Rail",220363,-33.91030497,151.1400854,10101462,,"Bedford Cres, Dulwich Hill NSW 2203","Bike racks | Emergency help point","This location is wheelchair accessible | Hearing loop | Level crossing | Lift | Stairs | Tactile surfaces | PA system for announcements","Train, Light rail",,
"Dulwich Hill Station",220310,-33.91110223,151.1409894,10101393,"02 9563 7595","Wardell Rd, Dulwich Hill NSW 2203","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone","Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Light rail",7-9am,4-6.30pm
"Dundas Station",211720,-33.80389397,151.0331967,10101224,"02 9637 1520","Station St, Dundas NSW 2117","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Wheelchair accessible car space","This location is wheelchair accessible | Level crossing | Tactile surfaces | PA system for announcements","Train, Bus",7-9am,4-6.30pm
"Dundee Coach Stop",237021,-29.5696,151.8659,10150345,,"New England Hwy opp Severn River Rd, Dundee NSW 2370",,,Coach,,
"Dunedoo Coach Stop",28441,-32.015794,149.396238,10150162,,"Rear of Milling Lions Park, Bolaro St, Dunedoo NSW 2844",,,Coach,,
"Dungog Station",242010,-32.4022901,151.7595395,10101186,"02 4962 9512","Brown St, Dungog NSW 2420","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Toilets","This location is wheelchair accessible | Level crossing | Wheelchair ramp boarding assistance | Stairs | PA system for announcements","Train, Bus","No peak",4-6.30pm
"East Hills Station",221320,-33.96160677,150.9848973,10101419,"02 9563 7774","Park Rd, East Hills NSW 2213","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space","Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus",7-9am,4-6.30pm
"East Maitland Station",232330,-32.74487523,151.5874213,10101176,"02 4985 7449","Melbourne St, East Maitland NSW 2323","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales | Toilets","Stairs | This location is not wheelchair accessible | PA system for announcements",Train,6-7am,4-6.30pm
"East Richmond Station",275310,-33.60179614,150.759234,10101244,"02 9851 7248","Bourke St, Richmond NSW 2753","Bike racks | Emergency help point | Kiss and ride stopping area | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible toilet | Baby change table","This location is wheelchair accessible | Level crossing | Wheelchair ramp boarding assistance | Tactile surfaces | PA system for announcements","Train, Bus",7-9am,4-6.30pm
"Eastwood Station",212210,-33.7900214,151.0822335,10101199,"02 9752 8493","West Pde, Eastwood NSW 2122","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Echuca Coach Stop",35641,-36.124102,144.751933,10150248,,"Echuca Moama Visitor Information Centre, Heygarth St, Echuca VIC 3564",,,Coach,,
"Eden Coach Stop",25511,-37.065712,149.906725,10150351,,"Twofold Arcade, Imlay St, Eden NSW 2551",,,"Coach, Bus",,
"Edgecliff Station",202710,-33.87925148,151.2361614,10101108,"02 9379 4652","New South Head Rd, Edgecliff NSW 2027","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet (MLAK) | Baby change table | Taxi rank","Escalator | Lift | Wheelchair ramp boarding assistance | Stairs | This location is wheelchair accessible | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Edmondson Park Station",217426,-33.9693,150.8587,10101447,"02 9765 1451","Soldiers Pde, Edmondson Park NSW 2174","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Eltham Coach Stop",24803,-28.755837,153.394117,10162129,,"Eltham Tennis Courts, Eltham Rd, Eltham NSW 2480",,,Coach,,
"Emmdale Coach Stop",28361,-31.653308,144.268255,10150186,,"Emmdale Roadhouse, Barrier Highway, Wilcannia NSW 2836",,,Coach,,
"Emu Plains Station",275020,-33.74556778,150.6722867,10101253,"02 4735 2506","Station St, Emu Plains NSW 2750","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table","This location is wheelchair accessible | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus",7-9am,4-6.30pm
"Engadine Station",223310,-34.06789901,151.0146529,10101353,"02 9522 1224","Princes Hwy, Engadine NSW 2233","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Epping Station",212110,-33.77284145,151.0821766,10101429,"02 8878 4100","Beecroft Rd, Epping NSW 2121","Bike lockers | Bike racks | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet (MLAK) | Baby change table | Taxi rank","This location is wheelchair accessible | Escalator | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Erskineville Station",204310,-33.9008581,151.1853076,10101324,"02 9563 7579","Swanson St, Erskineville NSW 2043","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet | Baby change table","Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus",7-9am,4-6.30pm
"Euabalong Coach Stop",28775,-33.108964,146.473193,10150287,,"Lachlan St opp Royal Hotel, Euabalong NSW 2877",,,Coach,,
"Euabalong West Coach Stop",28777,-33.055715,146.394249,10150297,,"Uabba St at Murrin St, Euabalong West NSW 2877",,,Coach,,
"Euabalong West Station",28771,-33.0548,146.3909,10155018,"13 22 32","Uabba St, Euabalong West NSW 2877",,"Stairs | This location is not wheelchair accessible | Short platforms, please see the train guard",Train,,
"Eugowra Coach Stop",28061,-33.427064,148.369866,10150251,,"Broad St at Myall St, Eugowra NSW 2806",,,Coach,,
"Eumungurie Coach Stop",28315,-31.949295,148.619853,10150272,,"Railway St after Mogriguy Rd, Eumungerie NSW 2831",,,Coach,,
"Eungai Station",24411,-30.8497,152.9001,10155049,"13 22 32","South Bank Rd, Eungai Rail NSW 2441",,"This location is wheelchair accessible | Wheelchair ramp boarding assistance | PA system for announcements | Short platforms, please see the train guard",Train,,
"Euston Coach Stop",27371,-34.577328,142.744641,10150246,,"Murray Tce opp Euston General Store, Euston NSW 2737",,,Coach,,
"Evans Head Coach Stop",24731,-29.118619,153.431145,10150359,,"Evans Head Library, Woodburn St, Evans Head NSW 2473",,,"Coach, Bus",,
"Exeter Station",257930,-34.61377487,150.3173447,10101309,"02 4868 1115","Middle Rd, Exeter NSW 2579","Emergency help point | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space","Level crossing | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 2 cars","Train, Bus",6-8am,4-6.30pm
"Exhibition Centre Light Rail",2000264,-33.87719386,151.1997027,10101440,,"Darling Dr, Sydney NSW 2000","Emergency help point | No Opal card top up or single trip ticket sales","This location is wheelchair accessible | Level crossing | Stairs | Tactile surfaces | PA system for announcements","Light rail",,
"Fairfield Station",216510,-33.87233065,150.9570711,10101285,"02 9765 1641","The Crescent, Fairfield NSW 2165","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Fairy Meadow Station",251910,-34.39583411,150.8961702,10101370,"02 4223 5582","Elliots Rd, Fairy Meadow NSW 2519","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Taxi rank","Level crossing | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Taxi",6-8am,4-6.30pm
"Fassifern Station",228330,-32.9857882,151.5812509,10101151,"02 4985 7209","Tucker Close, Fassifern NSW 2283","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone","This location is wheelchair accessible | Hearing loop | Lift | Stairs | Tactile surfaces | PA system for announcements","Train, Bus",6-7.45am,4-6.30pm
"Faulconbridge Station",277610,-33.69648835,150.5350339,10101260,"02 4780 3906","Great Western Hwy, Faulconbridge NSW 2776","Commuter car park | Emergency help point | Kiss and ride stopping area | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus",6-8am,4-6.30pm
"Finley Coach Stop",27131,-35.639939,145.579341,10150200,,"Finley War Memorial, Wollamai St, Finley NSW 2713",,,Coach,,
"Fish Market Light Rail",200937,-33.87091734,151.192293,10101435,,"Miller St, Pyrmont NSW 2009","Emergency help point | Opal card top up or single trip ticket machine","This location is wheelchair accessible | Level crossing | Lift | Stairs | Tactile surfaces | PA system for announcements","Light rail",,
"Flemington Station",214020,-33.86482229,151.0697665,10101217,"02 9752 8477","The Crescent, Homebush West NSW 2140","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Taxi rank | Wheelchair accessible toilet | Bike racks","Hearing loop | Stairs | This location is wheelchair accessible | PA system for announcements | Tactile surfaces | Lift","Train, Bus, Taxi",7-9am,4-6.30pm
"Forbes Coach Stop",28711,-33.379132,148.01189,10150326,,"Forbes Visitor Information Centre, Union St, Forbes NSW 2871",,,Coach,,
"Forster Coach Stop",24281,-32.18311,152.513002,10150029,,"Forster Tuncurry Visitor Information Centre, Little St, Forster NSW 2428",,,Coach,,
"Forster Keys Coach Stop",24282,-32.212959,152.525439,10150028,,"The Lakes Way before Cape Hawk Dr, Forster NSW 2428",,,"Coach, Bus",,
"Frederickton Coach Stop",244068,-31.035596,152.866693,10161630,,"Macleay St at Christmas St, Frederickton NSW 2440",,,"Regional coach, Bus",,
"Galong Coach Stop",25851,-34.601176,148.557725,10150337,,"Bent St at McMahon St, Galong NSW 2585",,,Coach,,
"Ganmain Coach Stop",27021,-34.793782,147.03889,10150033,,"Ford St at Hort St, Ganmain NSW 2702",,,Coach,,
"Garden Island Wharf",20007,-33.85813587,151.2299226,10102001,,"Potts Point NSW 2011","No Opal card top up or single trip ticket sales","This location is wheelchair accessible",Ferry,,
"Gerogery Coach Stop",264267,-35.83613,146.993483,10156282,,"Gerogery Post Office, Main St, Gerogery NSW 2642",,,Coach,,
"Gerringong Station",253420,-34.74488594,150.8175078,10101387,"02 4234 1422","Grey St, Gerringong NSW 2534","Bike racks | Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Taxi rank","This location is wheelchair accessible | Tactile surfaces | PA system for announcements","Train, Taxi",6-8am,4-6.30pm
"Geurie Station",28311,-32.398277,148.830581,10155013,"13 22 32","Mitchell Hwy, Geurie NSW 2818","Emergency help point","Wheelchair ramp boarding assistance | This location is not wheelchair accessible | PA system for announcements | Short platforms, please see the train guard","Train, Coach, Bus",,
"Gibraltar Range Coach Stop",23702,-29.513902,152.312939,10150314,,"Gwydir Hwy, Gilbraltar Range NSW 2370",,,Coach,,
"Gilgai Coach Stop",23602,-29.853765,151.117179,10150330,,"Marsh St at Hall St, Gilgai NSW 2360",,,Coach,,
"Gilgandra Coach Stop",28271,-31.711945,148.665964,10150116,,"Warren St before Morris St, Gilgandra NSW 2827",,,Coach,,
"Girilambone Coach Stop",28318,-31.711945,148.665964,10150263,,"Mitchell Hwy opp Girilambone Country Store, Girilambone NSW 2831",,,Coach,,
"Glebe Light Rail Light Rail",203781,-33.87715587,151.1873612,10101433,,"Lower Avon St, Glebe NSW 2037","Emergency help point | Opal card top up or single trip ticket machine","This location is wheelchair accessible | Level crossing | Stairs | Tactile surfaces | PA system for announcements","Light rail",,
"Glen Innes Coach Stop",23701,-29.7383,151.7377,10150315,,"Glen Innes Visitor Information Centre, 152 Church St, Glen Innes NSW 2370",,,Coach,,
"Glenbrook Station",277310,-33.76900437,150.6208342,10101255,"02 4739 1753","Burfitt Pde, Glenbrook NSW 2773","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus",6-8am,4-6.30pm
"Glencoe Coach Stop",23652,-29.925909,151.723766,10150098,,"Red Lion Hotel, New England Hwy, Glencoe NSW 2365",,,Coach,,
"Glenfield Station",216710,-33.97236827,150.8928072,10101291,"02 9765 1162","Railway Pde, Glenfield NSW 2167","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
"Gloucester Station",24221,-32.004766,151.966735,10155028,"13 22 32","Bucketts Way, Gloucester NSW 2422","Commuter car park | Emergency help point | Payphone | Toilets | Wheelchair accessible toilet | Baby change table","Wheelchair ramp boarding assistance | This location is not wheelchair accessible | PA system for announcements",Train,,
"Gloucester Town Coach Stop",24224,-32.00678,151.95721,10150192,,"Billabong Native Garden, Denison St, Gloucester NSW 2422",,,Coach,,
"Gongolgon Coach Stop",283921,-30.349861,146.89596,10150224,,"Colayne St after Campbell St, Gongolgon NSW 2839",,,Coach,,
"Good Forest Coach Stop",2790130,-33.615754,150.112188,10150011,,"Jenolan Caves Rd at Lowther Siding Rd, Lowther NSW 2790",,,Coach,,
"Goonellabah Coach Stop",24805,-28.811465,153.344105,10150138,,"Ballina Rd at James St, Goonellabah NSW 2480",,,Coach,,
"Gordon Station",207210,-33.75600864,151.154528,10101121,"02 9847 8458","St Johns Ave, Gordon NSW 2072","Bike racks | Transport Park&Ride | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi",7-9am,4-6.30pm
