id,name,street,suburb,postcode,type,suburb_id
10380,Gymea Bay Public School,205A Gymea Bay Road,Gymea Bay,2227,public,10287
10381,Haberfield Public School,Denman Ave,Haberfield,2045,public,10288
10382,Dobroyd Point Public School,89 Waratah Street,Haberfield,2045,public,10288
10383,St Joan Of Arc Catholic Primary School,88 Dalhousie St,Haberfield,2045,private,10288
10384,Hammondville Public School,Walder Rd,Hammondville,2170,public,10289
10385,Harbord Public School,Wyadra Avenue,Freshwater,2096,public,10253
10386,Northern Beaches Secondary College Freshwater Senior Campus,153 Harbord Road,Freshwater,2096,public,10253
10387,St John The Baptist Catholic Primary School,7 Johnson St,Freshwater,2096,private,10253
10388,Heathcote Public School,Oliver St,Heathcote,2233,public,10294
10389,Heathcote East Public School,Mimosa St,Heathcote,2233,public,10294
10390,Heathcote High School,Wilson Pde,Heathcote,2233,public,10294
10391,Homebush Public School,Rochester St,Homebush,2140,public,10303
10392,Homebush Boys High School,Bridge Rd,Homebush,2140,public,10303
10393,Horsley Park Public School,1759 The Horsley Drive,Horsley Park,2175,public,10308
10394,Marion Catholic Primary School,1788 The Horsley Drive,Horsley Park,2175,private,10308
10395,Hoxton Park Public School,99 Pacific Palms Circuit,Hoxton Park,2171,public,10309
10396,Good Shepherd Catholic Primary School,21 Twentieth Avenue,Hoxton Park,2171,private,10309
10397,Malek Fahd Islamic School,210 Pacific Palms Circuit,Hoxton Park,2171,private,10309
10398,Hurstville Public School,Forest Rd,Hurstville,2220,public,10315
10399,Hurstville South Public School,Maher St,Hurstville,2220,public,10315
10400,Woniora Road School,83-85 Woniora Rd,Hurstville,2220,public,10315
10401,Georges River College Hurstville Boys Campus,Kenwyn St,Hurstville,2220,public,10315
10402,Danebank School,84-98 Park Rd & 75 Queens Rd,Hurstville,2220,private,10315
10403,St Mary's Star of the Sea Catholic Primary School,24-26 Croydon Road,Hurstville,2220,private,10315
10404,St Raphael's Catholic Primary School,82 George Street,Hurstville,2221,private,10315
10405,Hurstville Adventist School,24 - 30 Wright Street,Hurstville,2220,private,10315
10406,St George Christian School,55-67 Woids Avenue,Hurstville,2220,private,10315
10407,Bethany College,Croydon Road,Hurstville,2220,private,10315
10408,Ingleburn Public School,Oxford Rd,Ingleburn,2565,public,10318
10409,Sackville Street Public School,22 Sackville St,Ingleburn,2565,public,10318
10410,Ingleburn High School,Oxford Rd,Ingleburn,2565,public,10318
10411,Holy Family Catholic Primary School,Oxford Road,Ingleburn,2565,private,10318
10412,Kegworth Public School,60 Tebbutt St,Leichhardt,2040,public,10364
10413,Orange Grove Public School,Perry St,Leichhardt,2040,public,10364
10414,Leichhardt Public School,Marion St,Leichhardt,2040,public,10364
10415,Sydney Secondary College Leichhardt Campus,Balmain Rd,Leichhardt,2040,public,10364
10416,St Fiacre's Catholic Primary School,98 Catherine Street,Leichhardt,2040,private,10364
10417,Kellyville Public School,35A Windsor Road,Kellyville,2155,public,10326
10418,Sherwood Ridge Public School,Rosebery Rd,Kellyville,2155,public,10326
10419,Tallowood School,44-68 Redden Dr,Kellyville,2155,public,10326
10420,Kellyville High School,York Rd,Kellyville,2155,public,10326
10421,Our Lady of the Rosary Primary School,8 Diana Avenue,Kellyville,2155,private,10326
10422,William Branwhite Clarke College,1 Morris Grove,Kellyville,2155,private,10326
10423,Our Lady of the Angels Primary School,1 Wellgate Avenue,Kellyville,2155,private,10326
10424,Australian International Academy  Kellyville Campus,57-69 Samantha Riley Drive,Kellyville,2155,private,10326
10425,Hills Adventist College,4 Gum Nut Close,Kellyville,2155,private,10326
10426,Kensington Public School,77-79 Doncaster Avenue,Kensington,2033,public,10329
10427,Our Lady of The Rosary Catholic Primary School,Kensington Road,Kensington,2033,private,10329
10428,Our Lady of the Sacred Heart College,36 Addison Street,Kensington,2033,private,10329
10429,Kenthurst Public School,111 Kenthurst Road,Kenthurst,2156,public,10330
10430,The Hills Grammar School,43 Kenthurst Rd,Kenthurst,2156,private,10330
10431,St Madeleine's Primary School,28 Annangrove Road,Kenthurst,2156,private,10330
10432,Marian Catholic College,24-28 Annangrove Road,Kenthurst,2156,private,10330
10433,Kingsgrove Public School,Kingsgrove Rd,Kingsgrove,2208,public,10337
10434,Kingsgrove North High School,2-10 St Albans Road,Kingsgrove,2208,public,10337
10435,Kingsgrove High School,Kingsgrove Rd,Kingsgrove,2208,public,10337
10436,Our Lady of Fatima Catholic Primary School,51 Caroline Street,Kingsgrove,2208,private,10337
10437,St Ursula's College,69 Caroline St,Kingsgrove,2208,private,10337
10438,Arkana College,346 Stoney Creek Road,Kingsgrove,2208,private,10337
10439,Kingswood Public School,Second Ave,Kingswood,2747,public,10338
10440,Kingswood South Public School,Smith St,Kingswood,2747,public,10338
10441,Kingswood High School,Bringelly Rd,Kingswood,2747,public,10338
10442,St Dominic's College,54-74 Gascoigne Street,Kingswood,2747,private,10338
10443,St Joseph's Primary School,94 Joseph Street,Kingswood,2747,private,10338
10444,Kogarah Public School,Gladstone St,Kogarah,2217,public,10343
10445,St George Hospital School,Paediatric Ward Lvl 1 East,Kogarah,2217,public,10343
10446,St George School,Marshall St,Kogarah,2217,public,10343
10447,St George Girls High School,Victoria St,Kogarah,2217,public,10343
10448,Moorefield Girls High School,Princes Hwy,Kogarah,2217,public,10343
10449,Kogarah High School,Gladstone St,Kogarah,2217,public,10343
10450,James Cook Boys High School,Princes Hwy,Kogarah,2217,public,10343
10451,St Patrick's Catholic Primary School,36 Chapel Street,Kogarah,2217,private,10343
10452,Kurmond Public School,494 Bells Line of Road,Kurmond,2757,public,10346
10453,Kurnell Public School,Dampier & Torres Sts,Kurnell,2231,public,10347
10454,Botany Bay Environmental Education Centre,Botany Bay National Park,Kurnell,2231,public,10347
10455,Kurrajong East Public School,891 East Kurrajong Road,East Kurrajong,2758,public,10210
10456,Kurrajong North Public School,Stone Terrace,Kurrajong Hills,2758,public,10350
10457,Lakemba Public School,Alice St,Lakemba,2195,public,10354
10458,Hampden Park Public School,39-79 Hampden Road,Lakemba,2195,public,10354
10459,Canterbury Vale School,24 Wangee Rd,Lakemba,2195,public,10354
10460,St Therese's Catholic Primary School,2A Yerrick Road,Lakemba,2195,private,10354
10461,Rissalah College,54-72 Hampden Road,Lakemba,2195,private,10354
10462,Holy Spirit Catholic College,39 Croydon Street,Lakemba,2195,private,10354
10463,Al Hikma College,291 Haldon Street,Lakemba,2195,private,10354
10464,Lane Cove Public School,Austin St & Longueville Rd,Lane Cove,2066,public,10356
10465,Lane Cove West Public School,Avalon Ave,Lane Cove,2066,public,10356
10466,Mowbray Public School,635 Mowbray Road,Lane Cove,2066,public,10356
10467,Currambena School,205 Longueville Road,Lane Cove,2066,private,10356
10468,St Ignatius' College,Tambourine Bay Road,Lane Cove,2066,private,10356
10469,St Michael's Catholic Primary School,181-187 Longueville Road,Lane Cove,2066,private,10356
10470,Lansdowne Public School,Cundle Rd & Macquarie St,Lansdowne,2430,public,10359
10471,La Perouse Public School,Yarra Rd,La Perouse,2036,public,10353
10472,Lidcombe Public School,Mills Street,Lidcombe,2141,public,10372
10473,St Joachim's Catholic Primary School,7 Mary Street,Lidcombe,2141,private,10372
10474,Lindfield Public School,Pacific Hwy,Lindfield,2070,public,10375
10475,Lindfield Learning Village,100 Eton Road,Lindfield,2070,public,10375
10476,Cromehurst School,8 Nelson Rd,Lindfield,2070,public,10375
10477,Holy Family Catholic Primary School,2-4 Highfield Road,Lindfield,2070,private,10375
10478,Highfields Preparatory & Kindergarten School Limited,18 Highfield Road,Lindfield,2070,private,10375
10479,Newington College,26 Northcote Rd,Lindfield,2070,private,10375
10480,Lindfield East Public School,Tryon Rd,East Lindfield,2070,public,10211
10481,Llandilo Public School,Seventh Avenue,Llandilo,2747,public,10379
10482,Xavier College,1170- 1172 Ninth Avenue,Llandilo,2747,private,10379
10483,Londonderry Public School,Londonderry Rd,Londonderry,2753,public,10381
10484,Luddenham Public School,24 Jamison Street,Luddenham,2745,public,10387
10485,Holy Family Primary School,Lot 32 Willowdene Ave,Luddenham,2745,private,10387
10486,Malabar Public School,231-239 Franklin Street,Malabar,2036,public,10394
10487,Chifley Public School,Mitchell St,Malabar,2036,public,10394
10488,St Andrew's Catholic Primary School,18 Prince Edward Street,Malabar,2036,private,10394
10489,Manly West Public School,Griffith St,Balgowlah,2093,public,10024
10490,Balgowlah Heights Public School,Lewis St,Balgowlah,2093,public,10024
10491,Northern Beaches Secondary College Balgowlah Boys Campus,Maretimo St,Balgowlah,2093,public,10024
10492,St Cecilia's Catholic Primary School,59 Seaview Street,Balgowlah,2093,private,10024
10493,Maraylya Public School,Neich Rd,Maraylya,2765,public,10397
10494,Longneck Lagoon Environmental Education Centre,Whitmore Rd,Maraylya,2765,public,10397
10495,Maroota Public School,4540 Old Northern Road,Maroota,2756,public,10399
10496,Maroubra Bay Public School,Duncan St,Maroubra,2035,public,10400
10497,Maroubra Junction Public School,Storey St,Maroubra,2035,public,10400
10498,South Sydney High School,2-36 O'Sullivan Avenue,Maroubra,2035,public,10400
10499,Champagnat Catholic College,35 Donovan Avenue,Maroubra,2035,private,10400
10500,Our Lady of The Annunciation Catholic Primary School,31 Donovan Avenue,Maroubra,2035,private,10400
10501,St Aidan's Catholic Primary School,214 Maroubra Road,Maroubra,2035,private,10400
10502,Mount Sinai College,6 Runic Lane,Maroubra,2035,private,10400
10503,St Spyridon College,1130 Anzac Parade,Maroubra,2035,private,10400
10504,Marsden Park Public School,363 Garfield Road West,Marsden Park,2765,public,10402
10505,St Luke's Catholic College (Primary),Lot 1104 Cnr Frontier Avenue & Northbourne Drive,Marsden Park,2765,private,10402
10506,Richard Johnson Anglican School,Clifton Road,Marsden Park,2765,private,10402
10507,Mascot Public School,King St,Mascot,2020,public,10404
10508,J J Cahill Memorial High School,Sutherland St,Mascot,2020,public,10404
10509,St Therese Catholic Primary School,43 Sutherland Street,Mascot,2020,private,10404
10510,Matraville Public School,310 Bunnerong Rd,Matraville,2036,public,10405
10511,Matraville Soldiers Settlement Public School,Menin Rd,Matraville,2036,public,10405
10512,St Agnes' Catholic Primary School,511 Bunnerong Road,Matraville,2036,private,10405
10513,The Meadows Public School,Fuller St,Seven Hills,2147,public,10573
10514,Seven Hills North Public School,45 Beethoven St,Seven Hills,2147,public,10573
10515,Seven Hills Public School,2A Lucas Road,Seven Hills,2147,public,10573
10516,Seven Hills West Public School,Lucas Rd & Sackville St,Seven Hills,2147,public,10573
10517,Bert Oldfield Public School,Oldfield Rd,Seven Hills,2147,public,10573
10518,Vardys Road Public School,Vardys Rd,Seven Hills,2147,public,10573
10519,William Rose School,Cnr Morris St & Lucas Rd,Seven Hills,2147,public,10573
10520,Seven Hills High School,Johnson Ave,Seven Hills,2147,public,10573
10521,The Hills Sports High School,Best Rd,Seven Hills,2147,public,10573
10522,Our Lady of Lourdes Primary School,7 Grantham Road,Seven Hills,2147,private,10573
10523,Menai Public School,4R Hall Drive,Menai,2234,public,10412
10524,Tharawal Public School,Gerald Rd,Menai,2234,public,10412
10525,Menai High School,40 Gerald Rd,Menai,2234,public,10412
10526,Holy Family Catholic Primary School,1D Anzac Road,Menai,2234,private,10412
10527,Aquinas Catholic College,Anzac Road,Menai,2234,private,10412
10528,Merrylands Public School,Fowler Rd,Merrylands,2160,public,10414
10529,Hilltop Road Public School,Hilltop Rd,Merrylands,2160,public,10414
10530,Sherwood Grange Public School,Bruce St,Merrylands,2160,public,10414
10531,Merrylands East Public School,Myee St,Merrylands,2160,public,10414
10532,Fowler Road School,Cnr Fowler Rd & Matthew St,Merrylands,2160,public,10414
10533,Holroyd School,Willara Ave,Merrylands,2160,public,10414
10534,Merrylands High School,Bristol St,Merrylands,2160,public,10414
10535,Cerdon College,Sherwood Road,Merrylands,2160,private,10414
10536,St Margaret Mary's Primary School,7 Chetwynd Road,Merrylands,2160,private,10414
10537,Key College,74-98 Kenyons Road,Merrylands,2160,private,10414
10538,Middle Dural Public School,Old Northern Rd,Middle Dural,2158,public,10417
10539,Middle Harbour Public School,8 Hale Rd,Mosman,2088,public,10435
10540,Beauty Point Public School,17 Medusa St,Mosman,2088,public,10435
10541,Mosman Public School,27 Belmont Rd,Mosman,2088,public,10435
10542,Mosman High School,Military Rd,Mosman,2088,public,10435
10543,Sacred Heart Catholic Primary School,8 Cardinal St,Mosman,2088,private,10435
10544,Queenwood School for Girls Ltd,47 Mandolong Rd,Mosman,2088,private,10435
10545,Mosman Church of England Preparatory School,75 Shadforth Street,Mosman,2088,private,10435
10546,Queenwood School for Girls Ltd,6 Queen Street,Mosman,2088,private,10435
10547,Milperra Public School,Pozieres Ave,Milperra,2214,public,10421
10548,Mount St Joseph Milperra,273 Horsley Road,Milperra,2214,private,10421
10549,Minto Public School,Pembroke & Redfern Rds,Minto,2566,public,10425
10550,Campbellfield Public School,Townson Ave,Minto,2566,public,10425
10551,Sarah Redfern Public School,5 Monaghan Street,Minto,2566,public,10425
10552,The Grange Public School,8 Benham Road,Minto,2566,public,10425
10553,Passfield Park School,53 Guernsey Avenue,Minto,2566,public,10425
10554,Sarah Redfern High School,1 Monaghan Street,Minto,2566,public,10425
10555,Al-Faisal College - Campbelltown,10 Benham Road,Minto,2566,private,10425
10556,Aspect Macarthur School,Cnr Stafford Road & Guernsey Avenue,Minto,2566,private,10425
10557,Miranda Public School,3 Sylva Avenue,Miranda,2228,public,10427
10558,Miranda North Public School,162B The Boulevarde,Miranda,2228,public,10427
10559,Port Hacking High School,637 Kingsway,Miranda,2228,public,10427
10560,Our Lady Star of the Sea Catholic School,44 Kiora Road,Miranda,2228,private,10427
10561,Mona Vale Public School,Waratah St,Mona Vale,2103,public,10428
10562,Pittwater High School,Pittwater Rd & Mona St,Mona Vale,2103,public,10428
10563,Sacred Heart Catholic Primary School,Waratah St,Mona Vale,2103,private,10428
10564,Mortdale Public School,Colebourne Ave,Mortdale,2223,public,10433
10565,Penshurst West Public School,Forest Rd & Scott St,Mortdale,2223,public,10433
10566,Carinya School,Colebourne Ave,Mortdale,2223,public,10433
10567,Marist Catholic College Penshurst,65 Victoria Avenue,Mortdale,2223,private,10433
10568,Mount Pritchard Public School,Meadows Rd,Mount Pritchard,2170,public,10441
10569,Mount Pritchard East Public School,Townview Rd,Mount Pritchard,2170,public,10441
10570,Les Powell School,108 Townview & Hoff Sts,Mount Pritchard,2170,public,10441
10571,Mulgoa Public School,1189-1193 Mulgoa Road,Mulgoa,2745,public,10443
10572,Nepean Christian School,836 Mulgoa Road,Mulgoa,2745,private,10443
10573,Narrabeen Lakes Public School,1299 Pittwater Rd,Narrabeen,2101,public,10447
10574,St Joseph's Catholic Primary School,108 Ocean Street,Narrabeen,2101,private,10447
10575,Neutral Bay Public School,Ben Boyd Rd,Neutral Bay,2089,public,10451
10576,Cameragal Montessori School,2B  Montpelier Street,Neutral Bay,2089,private,10451
10577,Newport Public School,Stuart St,Newport,2106,public,10453
10578,Nicholson Street Public School,Nicholson St,Balmain East,2041,public,10027
10579,Normanhurst Public School,Normanhurst Rd,Normanhurst,2076,public,10455
10580,Normanhurst Boys High School,Pennant Hills Rd,Normanhurst,2076,public,10455
10581,Loreto Normanhurst,91-93 Pennant Hills Road,Normanhurst,2076,private,10455
10582,Northbridge Public School,Sailors Bay Rd,Northbridge,2063,public,10474
10583,St Philip Neri Catholic Primary School,67 Baringa Road,Northbridge,2063,private,10474
10584,Northmead Public School,Moxhams Rd,Northmead,2152,public,10475
10585,The Hills School,Mary St,Northmead,2152,public,10475
10586,Northmead Creative and Performing Arts High School,Campbell St,Northmead,2152,public,10475
10587,North Rocks Public School,359 North Rocks Rd,North Rocks,2151,public,10465
10588,Muirfield High School,Barclay Rd,North Rocks,2151,public,10465
10589,Christ the King Primary School,2 Statham Avenue,North Rocks,2151,private,10465
10590,RIDBC Alice Betteridge School,361-365 North Rocks Road,North Rocks,2151,private,10465
10591,RIDBC Garfield Barwick School,361-365 North Rocks Road,North Rocks,2151,private,10465
10592,RIDBC Thomas Pattison School,361-365 North Rocks Road,North Rocks,2151,private,10465
10593,North Sydney Public School,Bay Rd,Waverton,2060,public,10644
10594,Oakville Public School,46 Ogden Rd,Oakville,2765,public,10479
10595,Arndell College,118 Wolseley Road,Oakville,2765,private,10479
10596,Oatley Public School,51-63 Letitia Street,Oatley,2223,public,10481
10597,Oatley West Public School,Oatley Park Ave,Oatley,2223,public,10481
10598,Georges River College Oatley Senior Campus,Oatley Ave & Hurstville Rd,Oatley,2223,public,10481
10599,St Joseph's Catholic Primary School,21 Rosa Street,Oatley,2223,private,10481
10600,Orchard Hills Public School,79-101 Kingswood Rd,Orchard Hills,2748,public,10485
10601,Penrith Christian School,1 Simeon Road,Orchard Hills,2748,private,10485
10602,Montgrove College,140 Bringelly Road,Orchard Hills,2748,private,10485
10603,Penrith Anglican College,338-356 Wentworth Road,Orchard Hills,2748,private,10485
10604,Padstow Park Public School,Segers Ave,Padstow,2211,public,10490
10605,Padstow Heights Public School,Chamberlain Rd,Padstow,2211,public,10490
10606,Padstow North Public School,Halcyon Ave,Padstow,2211,public,10490
10607,Caroline Chisholm School,Napoli St,Padstow,2211,public,10490
10608,Parklea Public School,Glenwood Park Drive,Glenwood,2768,public,10267
10609,Caddies Creek Public School,Currawong St & Glenwood Pk Dr,Glenwood,2768,public,10267
10610,Glenwood High School,Forman Ave & Glenwood Park Dr,Glenwood,2768,public,10267
10611,Holy Cross Primary School,49 Meurants Lane,Glenwood,2768,private,10267
10612,Trades Norwest Anglican Senior College,1000 Old Windsor Road,Glenwood,2768,private,10267
10613,Parramatta Public School,3 Marist Place,Parramatta,2150,public,10496
10614,Parramatta West Public School,Auburn & Young Sts,Parramatta,2150,public,10496
10615,Parramatta East Public School,Brabyn St,Parramatta,2150,public,10496
10616,Bayanami Public School,3 Marist Place,Parramatta,2150,public,10496
10617,Parramatta High School,Great Western Hwy & Pitt St,Parramatta,2150,public,10496
10618,Macarthur Girls High School,1-19 Macarthur Street,Parramatta,2150,public,10496
10619,Arthur Phillip High School,Cnr Macquarie & Smith Sts,Parramatta,2150,public,10496
10620,Our Lady of Mercy College Parramatta,Victoria Road,Parramatta,2150,private,10496
10621,St Patrick's Primary School,Villiers St,Parramatta,2150,private,10496
10622,Peakhurst Public School,Bonds Rd,Peakhurst,2210,public,10497
10623,Peakhurst West Public School,Ogilvy St,Peakhurst,2210,public,10497
10624,Georges River College Peakhurst Campus,Samuel & Rona Sts,Peakhurst,2210,public,10497
10625,Aspect South East Sydney School,Monterra Avenue,Peakhurst,2210,private,10497
10626,Pennant Hills Public School,Ramsay & Weemala Rds,Pennant Hills,2120,public,10501
10627,Pennant Hills High School,Laurence St,Pennant Hills,2120,public,10501
10628,Mount St Benedict College,447A Pennant Hills Road,Pennant Hills,2120,private,10501
10629,St Agatha's Catholic Primary School,7 Trebor Road,Pennant Hills,2120,private,10501
10630,West Pennant Hills Public School,Church St,West Pennant Hills,2125,public,10654
10631,Penrith Public School,51 High St,Penrith,2750,public,10502
10632,Penrith South Public School,172-190 Jamison Rd,Penrith,2750,public,10502
10633,Kingswood Park Public School,Caloola Ave,Penrith,2750,public,10502
10634,St Nicholas of Myra Primary School,Cnr Higgins Street and Lane,Penrith,2750,private,10502
10635,St Dominic's College,53 Evan Street,Penrith,2750,private,10502
10636,Penshurst Public School,Arcadia St,Penshurst,2222,public,10503
10637,Hurstville Grove Infants School,81 Landsdowne St,Penshurst,2222,public,10503
10638,Georges River College Penshurst Girls Campus,2 Austral St,Penshurst,2222,public,10503
10639,St Declan's Catholic Primary School,94 Penshurst St,Penshurst,2222,private,10503
10640,Pitt Town Public School,Buckingham St,Pitt Town,2756,public,10507
10641,Plumpton Public School,Bottles Rd,Plumpton,2761,public,10510
10642,Plumpton House School,327 Rooty Hill Road North,Plumpton,2761,public,10510
10643,Plumpton High School,Hyatts Rd,Plumpton,2761,public,10510
10644,Good Shepherd Primary School,134 Hyatts Road,Plumpton,2761,private,10510
10645,Western Grammar School,15 Cannery Road,Plumpton,2671,private,10510
10646,Prestons Public School,Kurrajong & Box Rds,Prestons,2170,public,10517
10647,Dalmeny Public School,Dalmeny Drive,Prestons,2170,public,10517
10648,William Carey Christian School,Bumbera Street,Prestons,2170,private,10517
10649,Amity College,163 Kurrajong Road,Prestons,2170,private,10517
10650,St Catherine of Siena Catholic Primary School,58 Dalmeny Drive,Prestons,2170,private,10517
10651,Punchbowl Public School,1333 Canterbury Road,Punchbowl,2196,public,10519
10652,Punchbowl Boys High School,Kelly St,Punchbowl,2196,public,10519
10653,Wiley Park Girls High School,The Boulevarde,Punchbowl,2196,public,10519
10654,St Jerome's Catholic Primary School,Rossmore Ave,Punchbowl,2196,private,10519
10655,St Charbel's College,142 Highclere Avenue,Punchbowl,2196,private,10519
10656,Putney Public School,Morrison Rd,Ryde,2112,public,10561
10657,Ryde Public School,Pope St,Ryde,2112,public,10561
10658,Meadowbank Public School,Thistle St,Ryde,2112,public,10561
10659,Ryde Secondary College,Malvina St,Ryde,2112,public,10561
10660,Holy Cross College,517 Victoria Road,Ryde,2112,private,10561
10661,St Charles Catholic Primary School,582 Victoria Road,Ryde,2112,private,10561
10662,Northcross Christian School,Cnr Lane Cove Rd & Dobson Cres,Ryde,2112,private,10561
10663,Quakers Hill Public School,Medlow Drive,Quakers Hill,2763,public,10523
10664,Hambledon Public School,Bali Drive,Quakers Hill,2763,public,10523
10665,Barnier Public School,120 Barnier Drive,Quakers Hill,2763,public,10523
10666,Wyndham College,Nirimba Precinct Eastern Rd,Quakers Hill,2763,public,10523
10667,Quakers Hill High School,70 Lalor Road,Quakers Hill,2763,public,10523
10668,Mary Immaculate Primary School,125 Barnier Drive,Quakers Hill,2763,private,10523
10669,St John Paul ll Catholic College (Schofields),Nirimba Education Precinct/Eastern Road,Quakers Hill,2763,private,10523
10670,Leppington Public School,144 Rickard Rd,Leppington,2179,public,10367
10671,Rainbow Street Public School,90-98 Rainbow Street,Randwick,2031,public,10529
10672,Randwick Public School,78 Avoca Street,Randwick,2031,public,10529
10673,Centennial Park School,78A Avoca Street,Randwick,2031,public,10529
10674,Sydney Childrens Hospital School,"""Level 0 High St""",Randwick,2031,public,10529
10675,Randwick Boys High School,Rainbow & Avoca Sts,Randwick,2031,public,10529
10676,Randwick Girls High School,Barker St,Randwick,2031,public,10529
10677,Brigidine College Randwick,6 Aeolia Street,Randwick,2031,private,10529
10678,Claremont College,30-32 Coogee Bay Road,Randwick,2031,private,10529
10679,Coogee Boys' Preparatory School,Cnr Cook and Alison Road,Randwick,2031,private,10529
10680,Marcellin College,195 Alison Road,Randwick,2031,private,10529
10681,Our Lady of the Sacred Heart Catholic Primary School,193 Avoca Street,Randwick,2031,private,10529
10682,St Margaret Mary's Catholic Primary School,Cnr Avoca St and Clovelly Rd,Randwick,2031,private,10529
10683,The Emanuel School,20 Stanley St,Randwick,2031,private,10529
10684,The Joseph Varga School,128 Alison Road,Randwick,2031,private,10529
10685,Regents Park Public School,1 Auburn Rd,Regents Park,2143,public,10531
10686,Karningul School,1A Auburn Rd,Regents Park,2143,public,10531
10687,St Peter Chanel Catholic Primary School,43 Regent Street,Regents Park,2143,private,10531
10688,Regents Park Christian School,59-61 Regent Street,Regents Park,2143,private,10531
10689,Trinity Catholic College,39 Regent St,Regents Park,2143,private,10531
10690,Regentville Public School,28-34 Schoolhouse Rd,Regentville,2745,public,10532
10691,Revesby Public School,Victoria St,Revesby,2212,public,10533
10692,Revesby South Public School,Mars St,Revesby,2212,public,10533
10693,Broderick Gillawarna School,36-48 Victoria St,Revesby,2212,public,10533
10694,Sir Joseph Banks High School,Turvey St,Revesby,2212,public,10533
10695,St Luke's Catholic Primary School,75-79 Victoria Street,Revesby,2212,private,10533
10696,Richmond North Public School,Grose Vale Rd,North Richmond,2754,public,10464
10697,Colo High School,218 Bells Line of Road,North Richmond,2754,public,10464
10698,Kuyper Christian School,294 Redbank Road,North Richmond,2754,private,10464
10699,Riverstone Public School,Elizabeth St,Riverstone,2765,public,10538
10700,Casuarina School,Garfield Rd E & Piccadilly St,Riverstone,2765,public,10538
10701,Riverstone High School,71 McCulloch Street,Riverstone,2765,public,10538
10702,St John's Primary School,5 Mcculloch Street,Riverstone,2765,private,10538
10703,Norwest Christian College,Cnr Regent & Mcculloch Streets,Riverstone,2765,private,10538
10704,Australian Christian College: Marsden Park,69 Farm Road,Riverstone,2765,private,10538
10705,Rockdale Public School,Lord St,Rockdale,2216,public,10541
10706,Kyeemagh Public School,Beehag St,Rockdale,2216,public,10541
10707,St Joseph's Catholic Primary School,Watkin Street,Rockdale,2216,private,10541
10708,St Dominic Savio School,19 William Street,Rockdale,2216,private,10541
10709,St Mary and St Mina's Coptic Orthodox College,4-5 Alexandra Parade,Rockdale,2216,private,10541
10710,Rose Bay Public School,Albemarle Ave,Rose Bay,2029,public,10546
10711,Kincoppal-Rose Bay School of the Sacred Heart,New South Head Road,Rose Bay,2029,private,10546
10712,Kambala,794 New South Head Road,Rose Bay,2029,private,10546
10713,McAuley Catholic Primary School,8 Carlisle St,Rose Bay,2029,private,10546
10714,Cranbrook School,6a Kent Rd,Rose Bay,2029,private,10546
10715,Roseville Public School,Archbold Rd,Roseville,2069,public,10551
10716,Roseville College,27-29 Bancroft Avenue,Roseville,2069,private,10551
10717,Rossmore Public School,Bringelly Rd,Rossmore,2171,public,10553
10718,Bellfield College,29 - 31 Rossmore Avenue West,Rossmore,2557,private,10553
10719,Rouse Hill Public School,Clower Ave,Rouse Hill,2155,public,10554
10720,Ironbark Ridge Public School,Ironbark Ridge Rd & Withers Rd,Rouse Hill,2155,public,10554
10721,Rouse Hill High School,105 Withers Road,Rouse Hill,2155,public,10554
10722,Rouse Hill Anglican College,Corner Rouse Road and Worcester Road,Rouse Hill,2155,private,10554
10723,Rydalmere Public School,397 Victoria Road,Rydalmere,2116,public,10560
10724,St Mary's Primary School,1 Myrtle St,Rydalmere,2116,private,10560
10725,North Ryde Public School,Coxs Rd,North Ryde,2113,public,10466
10726,Truscott Street Public School,Truscott St,North Ryde,2113,public,10466
10727,Ryde East Public School,12 Twin Rd,North Ryde,2113,public,10466
10728,Arndell School,Badajoz Rd,North Ryde,2113,public,10466
10729,Holy Spirit Catholic Primary School,Cooney Street,North Ryde,2113,private,10466
10730,Macquarie University Special Education Centre,Building X5A Macquarie University,North Ryde,2113,private,10466
10731,St Johns Park Public School,Sandringham St,St Johns Park,2176,public,10594
10732,King Park Public School,Humphries Rd,St Johns Park,2176,public,10594
10733,St Johns Park High School,Mimosa Rd,St Johns Park,2176,public,10594
10734,St Marys Public School,Princess Mary St,St Marys,2760,public,10596
10735,Oxley Park Public School,Adelaide St,St Marys,2760,public,10596
10736,St Marys South Public School,96 Monfarville St,St Marys,2760,public,10596
10737,Colyton High School,37-53 Carpenter St,St Marys,2760,public,10596
10738,St Marys Senior High School,Kalang Ave,St Marys,2760,public,10596
10739,Our Lady of the Rosary Primary School,32b Saddington Street,St Marys,2760,private,10596
10740,St Peters Public School,Church St,St Peters,2044,public,10597
10741,Sans Souci Public School,Rocky Point Rd,Sans Souci,2219,public,10567
10742,St Finbar's Primary School,Broughton St,Sans Souci,2219,private,10567
10743,St George Christian School,4 Hillview St,Sans Souci,2219,private,10567
10744,Schofields Public School,St Albans Rd,Schofields,2762,public,10569
10745,St John Paul II Catholic College (Schofields),85 Hambledon Road,Schofields,2762,private,10569
10746,St Joseph's Primary School,78 Alex Avenue,Schofields,2762,private,10569
10747,Smithfield Public School,O Connell St,Smithfield,2164,public,10579
10748,St Gertrude's Catholic Primary School,1-11 Justin Street,Smithfield,2164,private,10579
10749,Strathfield North Public School,251 Concord Rd,North Strathfield,2137,public,10469
10750,The McDonald College,17 George Street,North Strathfield,2137,private,10469
